لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,١٦٥٠٠٠ ,4+1 ,نقدا فقط ,للبيع فقط ,٢ ,"

مُكيّف

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,140000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,مستورده ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,900 ,0000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,14 ,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,0000000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,11 ,"

مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,ثالثه ,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,69000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,إمكانية التقسيط ,للبيع فقط ,,"

مسجل CD

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,220000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,6 ,"

مُكيّف

"
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600 ,400000000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,5 ,"


"
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,80000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"

مُكيّف
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,٢٠٠ ,4+1 ,إمكانية التقسيط ,للتبديل فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية

"
أزرق ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900 ,00000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثالثه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500 ,,7+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
مسجل CD

"
عدة الوان ,بنزين ,خصوصي ,نمرة صفراء ,عادي ,يدوي ,250 ,0 ,1+1 ,نقدا فقط ,للبيع فقط ,,"


"
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,3000 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,79000 ,4+1 ,نقدا فقط ,للبيع فقط ,لا يوجد ,"

مُكيّف
مسجل CD
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500 ,,3+1 ,إمكانية التقسيط ,للبيع فقط ,,"

إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,يدوي ,2400 ,75218 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,3 ,"

مسجل CD
جنطات مغنيسيوم

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300 ,,3+1 ,نقدا فقط ,للبيع فقط ,,"


"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,75000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
ذهبي ,بنزين ,تدريب سياقة ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية  ,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1000 ,,,إمكانية التقسيط ,للبيع فقط ,,"


"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,112 الف  ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,77000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد التالته ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500 ,١٦٣ ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2150 ,181000 ,7+1 ,إمكانية التقسيط ,للبيع فقط ,04 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,150000 ,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,1800 ,7500 ,2+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد اربعه ,"

مسجل CD

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1600 ,123456 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,5 ,"

مُكيّف
إغلاق مركزي
مسجل CD

"
أزرق ,ديزل ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,3000 ,300000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
بترولي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,١٥٠٠٠٠ ,4+1 ,إمكانية التقسيط ,للبيع فقط ,٢ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم

"
أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,1000000كم ,6+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,"117,000 ",4+1 ,نقدا فقط ,للبيع أو التبديل ,يد ٢ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000 ,20000 ,6+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,,4+1 ,نقدا فقط ,للبيع فقط ,٤ ,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,,,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,٢ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,147000 ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
جنطات مغنيسيوم
فرش جلد

"
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,230 ,000000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,180 ,4+1 ,نقدا فقط ,للبيع فقط ,3 ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500 ,76484983 ,6+1 ,نقدا فقط ,للبيع فقط ,3 ,"

مُكيّف
جهاز إنذار
مسجل CD
فرش جلد

"
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500 ,73 ألف كيلو ,6+1 ,نقدا فقط ,للبيع أو التبديل ,يد اولى ,"


"
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,ايد اولى ,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,103151 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
وسادة حماية هوائية

"
زيتي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500 ,100000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,5 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أخضر ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,88000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,0000 ,4+1 ,نقدا فقط ,للبيع فقط ,2 ,"

مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أخضر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثالثه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,13600 ,3+1 ,نقدا فقط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,٧٠الف ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,١ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,2500 ,,2+1 ,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
مسجل CD

"
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,157000 ,4+1 ,نقدا فقط ,للبيع فقط ,6 ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثانية ,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,٢٠٠٠٠٠ ,6+1 ,نقدا فقط ,للبيع أو التبديل ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,١٢٣٠٠٠ ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثانيه ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,٣ ,"

مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,25000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى  ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أخضر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,١٧٤ ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى  ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أخضر ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,٨٨٠٠٠ ,4+1 ,نقدا فقط ,للبيع فقط ,٢ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125 ,,1+1 ,نقدا فقط ,للبيع فقط ,2 ,"


"
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,300 ,6+1 ,إمكانية التقسيط ,للتبديل فقط ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500 ,٢٧٠٠٠٠ ,4+1 ,نقدا فقط ,للبيع أو التبديل ,٣ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,1800 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,900 ,,4+1 ,نقدا فقط ,للبيع أو التبديل ,,"


"
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,128000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثانيه ,"

جهاز إنذار
مسجل CD
جنطات مغنيسيوم

"
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,12345 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,12345 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,300 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,,"

إغلاق مركزي
فتحة سقف
جنطات مغنيسيوم
فرش جلد

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,95000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,يدوي ,2000 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم

"
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,72000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,88000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,٦٠٠٠٠٠ ,4+1 ,نقدا فقط ,للبيع فقط ,٦ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,165 ,,إمكانية التقسيط ,للبيع أو التبديل ,2 ,"

مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية

"
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1400 ,200000 ,4+1 ,نقدا فقط ,للبيع فقط ,4 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,900 ,00000000 ,3+1 ,نقدا فقط ,للبيع أو التبديل ,0000 ,"


"
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,١٧٠٠٠٠ ,6+1 ,نقدا فقط ,للبيع فقط ,١ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,,,نقدا فقط ,للبيع فقط ,,"


"
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,230000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية

"
بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,140000 ,4+1 ,نقدا فقط ,للبيع فقط ,1 ,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,184000 ,6+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,72000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,٨٠٠٠٠ ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,  O ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

"
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500 ,,6+1 ,إمكانية التقسيط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,0 ,4+1 ,نقدا فقط ,للبيع فقط ,1 ,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,130000 ,4+1 ,نقدا فقط ,للبيع فقط ,٤ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,0 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

"
كحلي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,1600 ,200000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,3 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم

"
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
خمري ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,١٥٠ ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,٥ ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

"
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,43000 ,4+1 ,نقدا فقط ,للبيع فقط ,ثالثة ,"

إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد

"
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,"

مُكيّف
إغلاق مركزي
مسجل CD

"
أزرق ,بنزين ,حكومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,,4+1 ,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية

"
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300 ,000000000 ,4+1 ,نقدا فقط ,للبيع فقط ,11 ,"


"
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,130 ,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

"
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,86000 ,6+1 ,إمكانية التقسيط ,للبيع فقط ,اولى ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,220 ,290 ,7+1 ,إمكانية التقسيط ,للبيع فقط ,2 ,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

"
